feature,gain_importance
V3,0.07778955
V7,0.060830243
amount_x_identity_risk,0.04378269
V12,0.042290967
V17,0.040849816
channel_freq,0.030496156
identity_false_rate,0.023611212
velocity_x_identity_risk,0.022443073
amount_x_recipient_risk,0.020797422
id_numeric_present_count,0.015326715
recipient_maturity_score,0.014779677
amount_x_velocity,0.014744158
velocity_mean,0.01385759
amount_vs_country_median,0.013812162
recipient_risk,0.013638529
m_false_count,0.013271267
id_numeric_missing_rate,0.012749658
agg_id_02,0.012673802
amount_vs_channel_median,0.012220832
agg_id_09,0.012107269
session_count,0.011911005
dist2,0.011822901
V16,0.011806717
P_emaildomain_freq,0.011694236
m_available_count,0.011493401
agg_id_04,0.011306941
card1,0.011299259
V11,0.011251882
sender_maturity_score,0.011211885
V5,0.011181813
V8,0.01112708
addr1,0.011051251
agg_id_10,0.011017993
TransactionAmt,0.010863765
agg_id_08,0.010809168
card5,0.010777219
V14,0.010726292
D1,0.010682453
V4,0.010679358
V13,0.010656606
D3,0.010644228
V20,0.010557679
agg_id_05,0.010509792
card_bank_freq,0.010505338
V10,0.0104324
V19,0.010412777
agg_id_06,0.010397838
card2,0.010350999
V6,0.010350646
D4,0.010296464
V2,0.010217106
D5,0.010203499
agg_id_01,0.010029291
V9,0.009839506
log_velocity_total,0.009795755
V15,0.0097233
V18,0.009644021
V1,0.00945758
dist1,0.009206631
log_transaction_amount,0.008719469
TransactionDT,0.008583954
R_emaildomain_freq,0.008533501
D2,0.00840727
agg_id_03,0.008371005
agg_id_07,0.008145794
velocity_max,0.007466875
agg_id_11,0.0071983077
deviceinfo_missing_rate,0.0065548816
card3,0.0
addr2,0.0
deviceinfo_unique_count,0.0
devicetype_missing_rate,0.0
devicetype_unique_count,0.0
identity_completeness,0.0
has_identity_record,0.0
identity_table_completeness,0.0
country_freq,0.0
currency_freq,0.0
card_type_freq,0.0
